# Bris star catalog source data.
#
# AUTOGENERATED by scripts/import_bsc.py from the Yale Bright Star
# Catalogue (BSC5) at https://cdsarc.cds.unistra.fr/ftp/V/50/.
# Do not hand-edit; rerun the importer to refresh.
#
# Format: tab-separated, one star per line, '#' starts a comment.
# Columns:
#   hr           Yale BSC number (primary key).
#   hip          Hipparcos number, 0 if not cross-referenced.
#   name         Conventional name, spaces replaced by '_'.
#   ra_deg       Right ascension in decimal degrees, J2000.0.
#   dec_deg      Declination in decimal degrees, J2000.0.
#   pm_ra_mas    Proper motion in RA, mas/yr (dα/dt × cos δ).
#   pm_dec_mas   Proper motion in declination, mas/yr.
#   parallax_mas Trigonometric parallax in milliarcseconds.
#   vmag         Apparent visual magnitude.
#   nav57        '*' if one of the 57 standard navigational stars.
#
# hr	hip	name	ra_deg	dec_deg	pm_ra_mas	pm_dec_mas	parallax_mas	vmag	nav57
135	0	HR135	8.293333	54.895000	71.00	-42.00	0.00	5.93	
136	0	Bet3Tuc	8.182500	-63.031111	81.00	-38.00	49.00	5.09	
137	0	16____Cas	8.603750	66.750278	21.00	0.00	0.00	6.48	
138	0	HR138	8.421250	-29.558333	-26.00	-30.00	0.00	5.55	
139	0	The_Tuc	8.347083	-71.266111	67.00	-12.00	0.00	6.13	
140	0	HR140	8.615833	-52.373056	230.00	32.00	38.00	5.57	
141	0	HR141	8.730417	13.371111	-90.00	-57.00	0.00	6.40	
142	0	13____Cet	8.812083	-3.592778	413.00	-26.00	60.00	5.20	
143	0	14____Cet	8.886667	-0.505556	146.00	-66.00	0.00	5.93	
144	0	HR144	9.034583	54.168611	22.00	0.00	0.00	5.08	
145	0	HR145	8.977917	13.206667	-143.00	-189.00	20.00	6.41	
146	0	HR146	9.113750	60.326111	-1.00	-3.00	0.00	5.79	
147	0	Lam2Phe	8.921250	-48.000833	45.00	-104.00	0.00	5.51	
148	0	HR148	8.889167	-54.821944	27.00	-54.00	0.00	6.06	
149	0	HR149	9.083333	27.254722	11.00	-16.00	0.00	6.50	
150	0	HR150	9.012500	-14.973611	-83.00	-79.00	0.00	6.45	
151	0	HR151	9.028750	-22.842500	-72.00	-52.00	0.00	6.06	
152	0	HR152	9.194167	44.488611	-23.00	33.00	7.00	5.13	
153	0	17Zet_Cas	9.242917	53.896944	19.00	-9.00	4.00	3.66	
154	0	29Pi__And	9.220417	33.719444	15.00	-4.00	-3.00	4.36	
155	0	53____Psc	9.197083	15.231667	2.00	-15.00	0.00	5.89	
156	0	HR156	9.280000	24.014167	-14.00	-44.00	0.00	6.47	
157	0	HR157	9.337917	35.399444	-16.00	-5.00	0.00	5.48	
158	0	HR158	9.947083	82.493889	-111.00	78.00	28.00	6.40	
159	0	HR159	9.336250	-24.767222	1390.00	-12.00	76.00	5.57	
160	0	HR160	9.155833	-65.124722	29.00	-20.00	0.00	6.42	
161	0	HR161	9.377083	3.135278	95.00	-61.00	0.00	6.39	
162	0	HR162	9.325417	-54.394167	56.00	-21.00	0.00	6.41	
163	0	30Eps_And	9.638750	29.311667	-227.00	-254.00	31.00	4.37	
164	0	HR164	9.791250	49.354444	8.00	-11.00	0.00	5.43	
165	0	31Del_And	9.832083	30.860833	136.00	-91.00	28.00	3.27	
166	0	54____Psc	9.840833	21.250556	-464.00	-370.00	99.00	5.87	
167	0	55____Psc	9.981667	21.438333	28.00	-35.00	9.00	5.36	
168	0	18Alp_Cas	10.127083	56.537222	53.00	-32.00	16.00	2.23	*
169	0	HR169	9.670000	-73.137222	-17.00	20.00	0.00	6.85	
170	0	HR170	9.991250	-33.961667	333.00	-116.00	20.00	6.69	
171	0	HR171	9.966667	-44.796667	45.00	0.00	0.00	6.01	
172	0	HR172	10.119167	-16.516944	37.00	-40.00	0.00	6.49	
173	0	HR173	10.137083	-23.804444	644.00	-333.00	43.00	6.14	
174	0	HR174	10.176667	-4.351944	-13.00	-13.00	0.00	5.91	
175	0	32____And	10.280000	39.458611	-10.00	-7.00	10.00	5.33	
176	0	HR176	10.110000	-59.454444	889.00	448.00	58.00	5.89	
177	0	HR177	10.514167	66.147500	-13.00	-9.00	0.00	5.83	
178	0	HR178	10.400000	24.629167	107.00	-16.00	0.00	6.04	
179	0	19Xi__Cas	10.516250	50.512500	15.00	-5.00	0.00	4.80	
180	0	Mu__Phe	10.331667	-46.085000	-14.00	-2.00	4.00	4.59	
181	0	HR181	10.629583	58.753333	36.00	-7.00	0.00	6.17	
183	0	Xi__Phe	10.443333	-56.501667	85.00	44.00	0.00	5.70	
184	0	20Pi__Cas	10.867083	47.024722	-20.00	-34.00	23.00	4.94	
185	0	Lam1Scl	10.678750	-38.463333	3.00	-5.00	0.00	6.06	
186	0	HR186	10.674167	-60.262500	255.00	-45.00	0.00	5.98	
187	0	Rho_Tuc	10.618333	-65.468056	53.00	42.00	38.00	5.39	
188	0	16Bet_Cet	10.897500	-17.986667	234.00	33.00	61.00	2.04	*
189	0	HR189	11.110000	47.864167	-26.00	15.00	0.00	5.67	
190	0	HR190	10.959167	-12.011667	7.00	-204.00	0.00	6.02	
